Name,Team,Stf+ FA,botOvr FA,Stf+ CH,botOvr CH,NameASCII,PlayerId,MLBAMID
"Luis Garcia","HOU",104.74559471365639,55.70628088105727,120.748275862069,52.216693333333346,"Luis Garcia",23735,677651
"Sonny Gray","CIN",103.7013888888889,59.89052925925926,49.042424242424254,40.545587272727275,"Sonny Gray",12768,543243
"Adbert Alzolay","CHC",103.04358974358975,50.961059487179476,84.75161290322579,50.09070451612904,"Adbert Alzolay",17859,640470
"Huascar Ynoa","ATL",102.12260273972603,45.78746578767123,89.6051282051282,37.02323205128206,"Huascar Ynoa",20468,660623
"José Berríos","MIN",101.91104815864024,55.96891169971672,72.2897810218978,38.381837299270074,"Jose Berrios",14168,621244
"Jeff Hoffman","CIN",101.29424460431656,47.11919800959233,94.00439560439563,43.36074274725274,"Jeff Hoffman",17432,656546
"Trevor Rogers","MIA",101.22988826815642,59.23236493016759,108.3303680981595,70.35817932515337,"Trevor Rogers",22286,669432
"Cristian Javier","HOU",100.93679833679833,47.20829823284823,77.84246575342466,39.78588136986301,"Cristian Javier",17606,664299
"Marco Gonzales","SEA",100.36666666666666,53.94456066666666,89.15419847328243,62.062843816793894,"Marco Gonzales",15467,594835
"Shane Bieber","CLE",99.82392996108949,57.14023517509728,71.38260869565218,55.769771739130434,"Shane Bieber",19427,669456
"Domingo Germán","NYY",98.47035714285714,55.27872896428572,105.10641025641026,65.54893508547009,"Domingo German",17149,593334
"Dean Kremer","BAL",98.28797327394209,56.45738668151448,86.54912280701753,26.885022982456142,"Dean Kremer",19350,665152
"Aaron Nola","PHI",97.9876984126984,56.72835444444446,87.3679180887372,64.68327907849827,"Aaron Nola",16149,605400
"Alex Cobb","LAA",97.64782608695653,51.14898956521739,,,"Alex Cobb",6562,502171
"Joe Ross","WSN",97.04941860465117,42.20214203488373,62.94383561643835,49.369041643835615,"Joe Ross",12972,605452
"Spencer Turnbull","DET",96.30942028985508,66.67270130434783,127.17758620689655,61.86905568965518,"Spencer Turnbull",16207,605513
"Drew Smyly","ATL",95.7703422053232,61.410444467680605,,,"Drew Smyly",11760,592767
"José Urquidy","HOU",95.52145669291339,60.96850722440946,99.28369565217392,60.034459891304344,"Jose Urquidy",18413,664353
"Tarik Skubal","DET",95.46104417670682,61.889224618473904,66.81869158878504,43.31614738317758,"Tarik Skubal",22267,669373
"Luis Castillo","CIN",94.57260981912144,47.972334237726095,98.92261306532664,68.64432148241205,"Luis Castillo",15689,622491
"Mike Foltynewicz","TEX",94.35448113207548,48.743977924528295,81.08818897637796,45.800963385826776,"Mike Foltynewicz",10811,592314
"Ian Anderson","ATL",93.77014925373135,48.11425291044776,92.78292011019283,48.91607752066117,"Ian Anderson",19951,666120
"Pablo López","MIA",93.55688311688314,65.30861997402596,92.02753623188406,70.39809536231884,"Pablo Lopez",17085,641154
"Jorge López","BAL",93.23554687500001,49.79725996093751,89.57686567164178,46.53746119402985,"Jorge Lopez",14527,605347
"Madison Bumgarner","ARI",93.18686327077747,46.82957568364611,43.13421052631579,34.513994473684214,"Madison Bumgarner",5524,518516
"Triston McKenzie","CLE",92.8205020920502,42.33724635983265,57.37619047619048,35.313635238095245,"Triston McKenzie",18000,663474
"Garrett Richards","BOS",92.64044444444446,53.25535882962962,,,"Garrett Richards",9784,572070
"Martín Pérez","BOS",92.61944444444444,39.83012462962962,74.96798245614033,44.95409548245614,"Martin Perez",6902,527048
"Jordan Lyles","TEX",92.05836820083684,46.901667677824264,78.61724137931033,38.713214597701146,"Jordan Lyles",7593,543475
"Charlie Morton","ATL",92.05546666666667,49.388160933333324,93.49655172413792,42.306934482758614,"Charlie Morton",4676,450203
"Corey Kluber","NYY",91.4255319148936,47.287911702127644,82.025,49.28524408333333,"Corey Kluber",2429,446372
"José Quintana","LAA",90.44943396226415,54.54790516981132,64.42589285714287,32.80125366071429,"Jose Quintana",11423,500779
"J.A. Happ","MIN",90.12075163398691,51.36596483660131,83.11946902654869,40.76654946902654,"J.A. Happ",7410,457918
"Kyle Gibson","TEX",89.9876811594203,38.64314724637682,87.679754601227,66.73931576687114,"Kyle Gibson",10123,502043
"Chris Flexen","SEA",89.7568062827225,50.88202329842932,104.61846153846155,54.78444733333335,"Chris Flexen",13896,623167
"Trevor Williams","CHC",89.7528455284553,54.656739945799465,68.13382352941176,50.08608470588235,"Trevor Williams",16977,592866
"Brad Keller","KCR",89.49972067039106,41.38686555865922,61.17974683544305,40.26160797468354,"Brad Keller",15734,641745
"José Ureña","DET",89.33333333333331,35.388474710144926,52.64615384615384,33.587106923076924,"Jose Urena",11589,570632
"Merrill Kelly","ARI",89.26563307493541,49.910476614987076,89.89297297297297,54.36026416216216,"Merrill Kelly",11156,518876
"Johnny Cueto","SFG",89.19905362776025,51.0459267192429,75.60098039215687,52.54431303921569,"Johnny Cueto",6893,456501
"Zach Eflin","PHI",88.49430894308944,50.225481788617884,69.38548387096773,60.70673153225806,"Zach Eflin",13774,621107
"John Gant","STL",87.58672566371682,39.25469920353983,83.87090909090908,51.064720818181804,"John Gant",13684,607231
"Mitch Keller","PIT",87.1622641509434,38.12484311320755,94.68055555555554,34.56846500000001,"Mitch Keller",17594,656605
"James Kaprielian","OAK",87.0813953488372,35.995938139534886,90.02777777777779,49.09408011111112,"James Kaprielian",18331,621076
"Chi Chi González","COL",86.36616314199395,49.90099145015106,83.01063829787233,48.89640734042554,"Chi Chi Gonzalez",14663,592346
"Marcus Stroman","NYM",85.25365853658538,51.81294658536585,,,"Marcus Stroman",13431,573186
"Logan Webb","SFG",84.35416666666667,39.53658191666666,109.57387387387388,60.161250135135134,"Logan Webb",17995,657277
"Joe Musgrove","SDP",83.88383838383838,56.36961651515152,96.06847826086958,54.78482097826087,"Joe Musgrove",12970,605397
"Dallas Keuchel","CHW",83.85714285714286,34.63890214285714,89.57924050632913,50.75356308860759,"Dallas Keuchel",9434,572971
"Antonio Senzatela","COL",83.77673611111112,40.07033387152777,63.9951923076923,39.420081826923074,"Antonio Senzatela",15488,622608
"Matthew Boyd","DET",83.61861471861471,56.91937824675324,94.501581027668,66.03390043478262,"Matthew Boyd",15440,571510
"Matt Harvey","BAL",83.54174528301886,44.594369622641516,84.29115044247787,54.060930973451335,"Matt Harvey",11713,518774
"Jon Lester","WSN",83.19853658536586,47.091583219512195,76.64413793103448,52.873117724137934,"Jon Lester",4930,452657
