Season,Name,Team,Stf+ FA,botOvr FA,Stf+ CH,botOvr CH,NameASCII,PlayerId,MLBAMID
2023,"Jake Irvin","WSN",91.8645751633987,41.94889785620915,76.51057692307694,58.46878240384616,"Jake Irvin",21504,663623
2022,"Luis Severino","NYY",111.67471116816431,58.546232747111695,76.34726775956285,50.67049852459016,"Luis Severino",15890,622663
2023,"Zach Eflin","TBR",82.97169811320755,48.33927704402516,76.28307692307693,46.63160953846154,"Zach Eflin",13774,621107
2022,"Cole Irvin","OAK",69.1385554425229,45.62431604272635,76.1575257731959,57.695016721649495,"Cole Irvin",19244,608344
2022,"Nestor Cortes","NYY",112.11752767527673,62.811592177121774,76.03944954128441,45.7598133027523,"Nestor Cortes",17874,641482
2022,"Cristian Javier","HOU",120.17967189728958,57.8606765406562,75.93229166666664,20,"Cristian Javier",17606,664299
2023,"J.P. France","HOU",101.06361655773422,56.290521481481484,75.90518292682926,57.33168304878047,"J.P. France",21212,641585
2022,"Joe Ryan","MIN",104.38419220055714,55.05093823119776,75.15206896551724,40.14212993103449,"Joe Ryan",21390,657746
2022,"Gerrit Cole","NYY",144.05571260306246,65.35207253828034,75.02246376811593,48.99998278985508,"Gerrit Cole",13125,543037
2023,"Johan Oviedo","PIT",82.55603079555175,38.96597610778443,75.00406504065039,23.60877796747967,"Johan Oviedo",22487,670912
2023,"Cristopher Sánchez","PHI",,,74.87067510548525,56.32084843881856,"Cristopher Sanchez",20778,650911
2023,"Anthony DeSclafani","SFG",87.6475138121547,28.243603204419887,74.85302013422819,41.51228489932887,"Anthony DeSclafani",13050,543101
2023,"Taj Bradley","TBR",131.68398486759145,59.921987692307695,74.38582995951417,49.11539732793521,"Taj Bradley",22543,671737
2022,"Noah Syndergaard","- - -",66.64817275747508,48.54119239202658,73.74840294840295,53.73490471744472,"Noah Syndergaard",11762,592789
2022,"Patrick Corbin","WSN",69.29290060851928,47.52067687626775,73.46467889908257,52.67942284403671,"Patrick Corbin",9323,571578
2022,"Shane Bieber","CLE",81.74939393939394,54.78568882828283,73.39850746268654,49.339313134328364,"Shane Bieber",19427,669456
2023,"Jordan Lyles","KCR",75.2407450523865,50.037907136204886,73.22671009771986,39.320346416938115,"Jordan Lyles",7593,543475
2023,"Austin Gomber","COL",68.26244725738394,45.70583870253164,72.97076923076925,62.46143769230769,"Austin Gomber",16561,596295
2022,"Carlos Rodón","SFG",113.01796276013143,66.03557071741511,72.70677966101697,47.89457220338983,"Carlos Rodon",16137,607074
2023,"Michael Kopech","CHW",116.05423845623709,49.18050474844935,72.57921348314608,21.295774269662925,"Michael Kopech",17282,656629
2023,"Chris Bassitt","TOR",73.65426621160411,42.78345088737201,72.46682926829268,52.105682146341444,"Chris Bassitt",12304,605135
2022,"Martín Pérez","TEX",76.60798319327733,31.99016436974789,72.3404617253949,54.53950653705955,"Martin Perez",6902,527048
2022,"Bryse Wilson","PIT",75.20388059701493,41.94738262686567,72.3138392857143,44.82159758928571,"Bryse Wilson",19990,669060
2023,"Blake Snell","SDP",120.46417910447761,53.70594820246592,72.24828767123287,62.7937530650685,"Blake Snell",13543,605483
2022,"Alek Manoah","TOR",102.53119092627601,57.21970952741023,72.22265861027192,42.48510235649547,"Alek Manoah",26410,666201
2023,"Martín Pérez","TEX",78.43717948717948,53.26566102564104,72.1326359832636,52.351490000000005,"Martin Perez",6902,527048
2023,"Gerrit Cole","NYY",124.87067280046004,64.45036637147787,72.12317596566523,47.72727167381975,"Gerrit Cole",13125,543037
2023,"Noah Syndergaard","- - -",65.04478896643404,50.48842312462613,71.84038461538464,48.02618278846154,"Noah Syndergaard",11762,592789
2022,"Adrian Sampson","CHC",83.74064386317907,52.77634404426561,71.73394495412845,33.39479435779816,"Adrian Sampson",13339,592716
2023,"Andrew Abbott","CIN",80.78294736842106,49.61244535789473,71.51193548387096,36.89091348387096,"Andrew Abbott",29911,671096
2022,"Tyler Alexander","DET",89.40875,59.209258281249994,70.6282258064516,48.42462346774193,"Tyler Alexander",17735,641302
2022,"Jon Gray","TEX",86.03262955854127,51.8241504606526,70.57329842931937,47.171497277486914,"Jon Gray",14916,592351
2022,"Hunter Greene","CIN",131.56334459459458,64.44848701858109,70.51206896551724,36.35276818965517,"Hunter Greene",22182,668881
2023,"Ranger Suárez","PHI",69.0836405529954,46.85197594470047,70.38548387096773,49.917014946236556,"Ranger Suarez",17277,624133
2022,"JT Brubaker","PIT",74.24444444444443,29.328721736111113,70.3595041322314,34.31691198347108,"JT Brubaker",17578,664141
2022,"Dane Dunning","TEX",49,55.31716666666667,70.33151750972763,48.87727361867705,"Dane Dunning",19409,641540
2023,"MacKenzie Gore","WSN",111.51994535519124,58.06123642076501,70.16567164179105,39.61698582089553,"MacKenzie Gore",22201,669022
2023,"Aaron Nola","PHI",95.45176211453744,59.9328010352423,70.10461538461537,54.454425487179485,"Aaron Nola",16149,605400
2022,"Antonio Senzatela","COL",79.20438489646772,52.051960609013385,69.94521739130433,39.436374782608695,"Antonio Senzatela",15488,622608
2022,"Adam Wainwright","STL",75.34383561643835,38.44819099315068,69.91894736842104,41.43878489473685,"Adam Wainwright",2233,425794
2022,"Alex Wood","SFG",,,69.3433734939759,50.63568173493977,"Alex Wood",13781,622072
2022,"Aaron Nola","PHI",105.623842364532,65.59335913300494,69.32254464285714,55.89195488839287,"Aaron Nola",16149,605400
